Cell	Subpopulation
SA501X11XB00529-A96174A-R03-C12	1
SA501X11XB00529-A96174A-R03-C22	2
SA501X11XB00529-A96174A-R03-C31	1
SA501X11XB00529-A96174A-R03-C44	1
SA501X11XB00529-A96174A-R03-C48	1
SA501X11XB00529-A96174A-R03-C61	1
SA501X11XB00529-A96174A-R03-C62	1
SA501X11XB00529-A96174A-R04-C53	1
SA501X11XB00529-A96174A-R04-C55	1
SA501X11XB00529-A96174A-R05-C10	1
SA501X11XB00529-A96174A-R06-C52	1
SA501X11XB00529-A96174A-R06-C55	1
SA501X11XB00529-A96174A-R06-C59	2
SA501X11XB00529-A96174A-R07-C33	1
SA501X11XB00529-A96174A-R07-C53	2
SA501X11XB00529-A96174A-R07-C62	1
SA501X11XB00529-A96174A-R08-C33	1
SA501X11XB00529-A96174A-R08-C36	1
SA501X11XB00529-A96174A-R08-C43	1
SA501X11XB00529-A96174A-R08-C53	1
SA501X11XB00529-A96174A-R09-C08	2
SA501X11XB00529-A96174A-R09-C10	1
SA501X11XB00529-A96174A-R09-C12	1
SA501X11XB00529-A96174A-R09-C30	1
SA501X11XB00529-A96174A-R09-C50	1
SA501X11XB00529-A96174A-R09-C52	1
SA501X11XB00529-A96174A-R09-C56	1
SA501X11XB00529-A96174A-R09-C57	1
SA501X11XB00529-A96174A-R09-C61	1
SA501X11XB00529-A96174A-R10-C25	1
SA501X11XB00529-A96174A-R10-C39	1
SA501X11XB00529-A96174A-R10-C43	1
SA501X11XB00529-A96174A-R10-C47	1
SA501X11XB00529-A96174A-R10-C48	1
SA501X11XB00529-A96174A-R10-C55	2
SA501X11XB00529-A96174A-R11-C24	1
SA501X11XB00529-A96174A-R11-C28	3
SA501X11XB00529-A96174A-R11-C30	1
SA501X11XB00529-A96174A-R11-C59	2
SA501X11XB00529-A96174A-R11-C62	2
SA501X11XB00529-A96174A-R11-C63	1
SA501X11XB00529-A96174A-R12-C13	2
SA501X11XB00529-A96174A-R12-C29	2
SA501X11XB00529-A96174A-R12-C37	1
SA501X11XB00529-A96174A-R12-C38	1
SA501X11XB00529-A96174A-R12-C43	1
SA501X11XB00529-A96174A-R12-C47	1
SA501X11XB00529-A96174A-R12-C52	1
SA501X11XB00529-A96174A-R13-C19	1
SA501X11XB00529-A96174A-R13-C35	1
SA501X11XB00529-A96174A-R13-C36	1
SA501X11XB00529-A96174A-R13-C43	1
SA501X11XB00529-A96174A-R13-C50	1
SA501X11XB00529-A96174A-R13-C57	2
SA501X11XB00529-A96174A-R13-C61	2
SA501X11XB00529-A96174A-R14-C25	1
SA501X11XB00529-A96174A-R14-C30	1
SA501X11XB00529-A96174A-R14-C32	1
SA501X11XB00529-A96174A-R14-C37	2
SA501X11XB00529-A96174A-R14-C39	1
SA501X11XB00529-A96174A-R14-C48	2
SA501X11XB00529-A96174A-R14-C49	1
SA501X11XB00529-A96174A-R14-C50	1
SA501X11XB00529-A96174A-R14-C51	1
SA501X11XB00529-A96174A-R14-C55	1
SA501X11XB00529-A96174A-R14-C61	2
SA501X11XB00529-A96174A-R15-C07	2
SA501X11XB00529-A96174A-R15-C19	1
