Cell	Subpopulation
SA1055-A95621A-R04-C07	1
SA1055-A95621A-R04-C08	1
SA1055-A95621A-R04-C13	2
SA1055-A95621A-R04-C14	2
SA1055-A95621A-R04-C15	3
SA1055-A95621A-R04-C16	3
SA1055-A95621A-R04-C17	1
SA1055-A95621A-R04-C18	1
SA1055-A95621A-R04-C19	3
SA1055-A95621A-R04-C20	2
SA1055-A95621A-R04-C21	1
SA1055-A95621A-R04-C22	1
SA1055-A95621A-R04-C23	1
SA1055-A95621A-R04-C26	3
SA1055-A95621A-R04-C27	1
SA1055-A95621A-R04-C29	2
SA1055-A95621A-R04-C35	1
SA1055-A95621A-R04-C42	1
SA1055-A95621A-R04-C49	3
SA1055-A95621A-R04-C50	3
SA1055-A95621A-R06-C30	4
SA1055-A95621A-R06-C33	4
SA1055-A95621A-R06-C34	4
SA1055-A95621A-R06-C39	4
SA1055-A95621A-R06-C40	3
SA1055-A95621A-R06-C41	1
SA1055-A95621A-R06-C42	3
SA1055-A95621A-R06-C47	4
SA1055-A95621A-R06-C49	2
SA1055-A95621A-R06-C50	3
SA1055-A95621A-R06-C52	1
SA1055-A95621A-R06-C54	1
SA1055-A95621A-R06-C55	1
SA1055-A95621A-R06-C56	3
SA1055-A95621A-R06-C57	3
SA1055-A95621A-R06-C58	3
SA1055-A95621A-R06-C59	4
SA1055-A95621A-R06-C60	1
SA1055-A95621A-R06-C62	4
SA1055-A95621A-R06-C63	3
SA1055-A95621A-R06-C64	3
SA1055-A95621A-R06-C66	3
SA1055-A95621A-R06-C67	1
SA1055-A95621A-R06-C69	4
SA1055-A95621A-R07-C07	3
SA1055-A95621A-R07-C08	2
SA1055-A95621A-R07-C10	1
SA1055-A95621A-R07-C14	2
SA1055-A95621A-R07-C15	4
SA1055-A95621A-R07-C19	3
SA1055-A95621A-R07-C21	3
SA1055-A95621A-R07-C22	4
SA1055-A95621A-R07-C25	3
SA1055-A95621A-R07-C28	1
SA1055-A95621A-R07-C29	3
SA1055-A95621A-R07-C30	1
SA1055-A95621A-R07-C31	4
SA1055-A95621A-R07-C32	1
SA1055-A95621A-R07-C36	1
SA1055-A95621A-R07-C39	1
SA1055-A95621A-R07-C40	4
SA1055-A95621A-R07-C41	2
SA1055-A95621A-R07-C44	4
SA1055-A95621A-R07-C45	1
SA1055-A95621A-R07-C46	2
SA1055-A95621A-R07-C47	3
SA1055-A95621A-R07-C48	1
SA1055-A95621A-R07-C49	2
SA1055-A95621A-R07-C51	4
SA1055-A95621A-R07-C54	1
SA1055-A95621A-R07-C58	3
SA1055-A95621A-R07-C59	1
SA1055-A95621A-R07-C60	3
SA1055-A95621A-R07-C61	3
SA1055-A95621A-R07-C62	1
SA1055-A95621A-R07-C64	3
SA1055-A95621A-R07-C68	4
SA1055-A95621A-R07-C69	1
SA1055-A95621A-R07-C70	3
SA1055-A95621A-R08-C07	3
SA1055-A95621A-R08-C08	2
SA1055-A95621A-R08-C10	2
SA1055-A95621A-R08-C13	1
SA1055-A95621A-R08-C17	1
SA1055-A95621A-R08-C18	2
SA1055-A95621A-R08-C21	4
SA1055-A95621A-R08-C22	3
SA1055-A95621A-R08-C23	1
SA1055-A95621A-R08-C24	1
SA1055-A95621A-R08-C28	1
SA1055-A95621A-R08-C32	3
SA1055-A95621A-R08-C34	1
SA1055-A95621A-R08-C35	1
SA1055-A95621A-R08-C37	1
SA1055-A95621A-R08-C38	4
SA1055-A95621A-R08-C41	2
SA1055-A95621A-R08-C42	1
SA1055-A95621A-R08-C43	3
SA1055-A95621A-R08-C45	4
SA1055-A95621A-R08-C49	1
SA1055-A95621A-R08-C51	3
SA1055-A95621A-R08-C55	4
SA1055-A95621A-R08-C56	1
SA1055-A95621A-R08-C61	1
SA1055-A95621A-R08-C62	2
SA1055-A95621A-R08-C63	3
SA1055-A95621A-R08-C64	1
SA1055-A95621A-R08-C66	3
SA1055-A95621A-R08-C67	2
SA1055-A95621A-R08-C69	1
SA1055-A95621A-R09-C07	1
SA1055-A95621A-R09-C08	3
SA1055-A95621A-R09-C09	4
SA1055-A95621A-R09-C10	3
SA1055-A95621A-R09-C13	4
SA1055-A95621A-R09-C15	3
SA1055-A95621A-R09-C18	3
SA1055-A95621A-R09-C19	4
SA1055-A95621A-R09-C20	1
SA1055-A95621A-R09-C21	1
SA1055-A95621A-R09-C23	2
SA1055-A95621A-R09-C24	4
SA1055-A95621A-R09-C25	1
SA1055-A95621A-R09-C27	1
SA1055-A95621A-R09-C28	2
SA1055-A95621A-R09-C29	1
SA1055-A95621A-R09-C31	3
SA1055-A95621A-R09-C34	1
SA1055-A95621A-R09-C35	1
SA1055-A95621A-R09-C37	4
SA1055-A95621A-R09-C41	1
SA1055-A95621A-R09-C43	1
SA1055-A95621A-R09-C44	1
SA1055-A95621A-R09-C47	4
SA1055-A95621A-R09-C48	1
SA1055-A95621A-R09-C49	1
SA1055-A95621A-R09-C51	2
SA1055-A95621A-R09-C52	1
SA1055-A95621A-R09-C54	1
SA1055-A95621A-R09-C55	4
SA1055-A95621A-R09-C58	3
SA1055-A95621A-R09-C61	2
SA1055-A95621A-R09-C65	4
SA1055-A95621A-R09-C66	1
SA1055-A95621A-R09-C67	1
SA1055-A95621A-R09-C68	3
SA1055-A95621A-R09-C69	1
SA1055-A95621A-R10-C07	3
SA1055-A95621A-R10-C08	3
SA1055-A95621A-R10-C12	3
SA1055-A95621A-R10-C17	3
SA1055-A95621A-R10-C19	1
SA1055-A95621A-R10-C20	1
SA1055-A95621A-R10-C22	1
SA1055-A95621A-R10-C23	1
SA1055-A95621A-R10-C27	1
SA1055-A95621A-R10-C35	2
SA1055-A95621A-R10-C37	4
SA1055-A95621A-R10-C40	1
SA1055-A95621A-R10-C42	3
SA1055-A95621A-R10-C45	4
SA1055-A95621A-R10-C49	2
SA1055-A95621A-R10-C52	2
SA1055-A95621A-R10-C54	1
SA1055-A95621A-R10-C56	1
SA1055-A95621A-R10-C61	2
SA1055-A95621A-R10-C64	3
SA1055-A95621A-R10-C66	4
SA1055-A95621A-R11-C11	3
SA1055-A95621A-R11-C12	1
SA1055-A95621A-R11-C13	4
SA1055-A95621A-R11-C15	4
SA1055-A95621A-R11-C17	3
SA1055-A95621A-R11-C18	2
SA1055-A95621A-R11-C19	2
SA1055-A95621A-R11-C22	1
SA1055-A95621A-R11-C23	3
SA1055-A95621A-R11-C26	3
SA1055-A95621A-R11-C29	2
SA1055-A95621A-R11-C30	3
SA1055-A95621A-R11-C34	2
SA1055-A95621A-R11-C35	3
SA1055-A95621A-R11-C36	3
SA1055-A95621A-R11-C37	3
SA1055-A95621A-R11-C38	1
SA1055-A95621A-R11-C39	1
SA1055-A95621A-R11-C40	1
SA1055-A95621A-R11-C47	3
SA1055-A95621A-R11-C49	1
SA1055-A95621A-R11-C51	2
SA1055-A95621A-R11-C55	1
SA1055-A95621A-R11-C56	2
SA1055-A95621A-R11-C57	2
SA1055-A95621A-R11-C60	4
SA1055-A95621A-R11-C62	1
SA1055-A95621A-R11-C63	1
SA1055-A95621A-R11-C64	1
SA1055-A95621A-R11-C65	3
SA1055-A95621A-R12-C07	1
SA1055-A95621A-R12-C10	2
SA1055-A95621A-R12-C11	2
SA1055-A95621A-R12-C12	1
SA1055-A95621A-R12-C15	2
SA1055-A95621A-R12-C16	2
SA1055-A95621A-R12-C17	4
SA1055-A95621A-R12-C18	3
SA1055-A95621A-R12-C22	1
SA1055-A95621A-R12-C24	1
SA1055-A95621A-R12-C30	4
SA1055-A95621A-R12-C31	4
SA1055-A95621A-R12-C36	1
SA1055-A95621A-R12-C40	1
SA1055-A95621A-R12-C45	3
SA1055-A95621A-R12-C49	1
SA1055-A95621A-R12-C54	1
SA1055-A95621A-R12-C61	1
SA1055-A95621A-R12-C66	4
SA1055-A95621A-R12-C67	3
SA1055-A95621A-R12-C68	2
SA1055-A95621A-R12-C69	3
SA1055-A95621A-R12-C70	1
SA1055-A95621A-R13-C08	1
SA1055-A95621A-R13-C12	4
SA1055-A95621A-R13-C13	1
SA1055-A95621A-R13-C14	3
SA1055-A95621A-R13-C16	2
SA1055-A95621A-R13-C17	2
SA1055-A95621A-R13-C18	1
SA1055-A95621A-R13-C24	1
SA1055-A95621A-R13-C26	3
SA1055-A95621A-R13-C27	1
SA1055-A95621A-R13-C28	4
SA1055-A95621A-R13-C30	2
SA1055-A95621A-R13-C31	1
SA1055-A95621A-R13-C32	1
SA1055-A95621A-R13-C36	4
SA1055-A95621A-R13-C37	1
SA1055-A95621A-R13-C38	2
SA1055-A95621A-R13-C40	2
SA1055-A95621A-R13-C41	1
SA1055-A95621A-R13-C42	3
SA1055-A95621A-R13-C43	1
SA1055-A95621A-R13-C45	4
SA1055-A95621A-R13-C46	4
SA1055-A95621A-R13-C47	3
SA1055-A95621A-R13-C48	2
SA1055-A95621A-R13-C49	4
SA1055-A95621A-R13-C50	3
SA1055-A95621A-R13-C51	4
SA1055-A95621A-R13-C52	1
SA1055-A95621A-R13-C54	1
SA1055-A95621A-R13-C55	4
SA1055-A95621A-R13-C58	1
SA1055-A95621A-R13-C59	3
SA1055-A95621A-R13-C60	3
SA1055-A95621A-R13-C62	4
SA1055-A95621A-R13-C63	3
SA1055-A95621A-R13-C66	2
SA1055-A95621A-R13-C67	3
SA1055-A95621A-R13-C69	3
SA1055-A95621A-R13-C70	3
SA1055-A95621A-R14-C07	4
SA1055-A95621A-R14-C08	3
SA1055-A95621A-R14-C09	3
SA1055-A95621A-R14-C12	4
SA1055-A95621A-R14-C13	4
SA1055-A95621A-R14-C16	1
SA1055-A95621A-R14-C17	2
SA1055-A95621A-R14-C19	1
SA1055-A95621A-R14-C20	2
SA1055-A95621A-R14-C29	4
SA1055-A95621A-R14-C32	1
SA1055-A95621A-R14-C34	4
SA1055-A95621A-R14-C38	1
SA1055-A95621A-R14-C45	4
SA1055-A95621A-R14-C47	3
SA1055-A95621A-R14-C48	2
SA1055-A95621A-R14-C49	1
SA1055-A95621A-R14-C53	4
SA1055-A95621A-R14-C54	3
SA1055-A95621A-R14-C55	1
SA1055-A95621A-R14-C58	4
SA1055-A95621A-R14-C60	2
SA1055-A95621A-R14-C61	4
SA1055-A95621A-R14-C63	4
SA1055-A95621A-R14-C65	3
SA1055-A95621A-R14-C66	3
SA1055-A95621A-R14-C70	2
SA1055-A95621A-R15-C11	2
SA1055-A95621A-R15-C13	4
SA1055-A95621A-R15-C14	1
SA1055-A95621A-R15-C18	3
SA1055-A95621A-R15-C24	4
SA1055-A95621A-R15-C31	3
SA1055-A95621A-R15-C34	1
SA1055-A95621A-R15-C35	2
SA1055-A95621A-R15-C37	4
SA1055-A95621A-R15-C42	3
SA1055-A95621A-R15-C44	3
SA1055-A95621A-R15-C45	3
SA1055-A95621A-R15-C46	4
SA1055-A95621A-R15-C49	2
SA1055-A95621A-R15-C52	1
SA1055-A95621A-R15-C57	4
SA1055-A95621A-R15-C58	4
SA1055-A95621A-R15-C61	3
SA1055-A95621A-R15-C63	2
SA1055-A95621A-R15-C64	2
SA1055-A95621A-R15-C65	1
SA1055-A95621A-R15-C66	3
SA1055-A95621A-R15-C70	2
