Cell	Phase
SA604X6XB01979-A95722A-R04-C48.bam	G1
SA604X6XB01979-A95722A-R04-C49.bam	S
SA604X6XB01979-A95722A-R04-C57.bam	G1
SA604X6XB01979-A95722A-R04-C58.bam	G1
SA604X6XB01979-A95722A-R04-C59.bam	G1
SA604X6XB01979-A95722A-R05-C30.bam	G1
SA604X6XB01979-A95722A-R05-C40.bam	G1
SA604X6XB01979-A95722A-R05-C41.bam	S
SA604X6XB01979-A95722A-R05-C42.bam	G1
SA604X6XB01979-A95722A-R05-C46.bam	G1
SA604X6XB01979-A95722A-R05-C51.bam	G1
SA604X6XB01979-A95722A-R05-C61.bam	G1
SA604X6XB01979-A95722A-R05-C66.bam	G1
SA604X6XB01979-A95722A-R06-C07.bam	G1
SA604X6XB01979-A95722A-R06-C09.bam	G1
SA604X6XB01979-A95722A-R06-C48.bam	G1
SA604X6XB01979-A95722A-R07-C19.bam	G1
SA604X6XB01979-A95722A-R07-C47.bam	G1
SA604X6XB01979-A95722A-R07-C52.bam	G1
SA604X6XB01979-A95722A-R07-C60.bam	G1
SA604X6XB01979-A95722A-R07-C61.bam	G1
SA604X6XB01979-A95722A-R07-C63.bam	G1
SA604X6XB01979-A95722A-R07-C64.bam	G1
SA604X6XB01979-A95722A-R07-C66.bam	S
SA604X6XB01979-A95722A-R07-C68.bam	G1
SA604X6XB01979-A95722A-R08-C22.bam	G1
SA604X6XB01979-A95722A-R08-C41.bam	G1
SA604X6XB01979-A95722A-R08-C42.bam	G1
SA604X6XB01979-A95722A-R08-C44.bam	G1
SA604X6XB01979-A95722A-R08-C46.bam	G1
SA604X6XB01979-A95722A-R08-C47.bam	G1
SA604X6XB01979-A95722A-R08-C48.bam	G1
SA604X6XB01979-A95722A-R08-C51.bam	G1
SA604X6XB01979-A95722A-R08-C52.bam	G1
SA604X6XB01979-A95722A-R08-C54.bam	G1
SA604X6XB01979-A95722A-R08-C56.bam	G1
SA604X6XB01979-A95722A-R08-C60.bam	G1
SA604X6XB01979-A95722A-R08-C65.bam	G1
SA604X6XB01979-A95722A-R08-C66.bam	G1
SA604X6XB01979-A95722A-R08-C67.bam	G1
SA604X6XB01979-A95722A-R08-C68.bam	G1
SA604X6XB01979-A95722A-R09-C40.bam	G1
SA604X6XB01979-A95722A-R09-C41.bam	S
SA604X6XB01979-A95722A-R10-C47.bam	G1
SA604X6XB01979-A95722A-R10-C49.bam	G1
