Cell	Phase
SA501X6XB00969-A95670B-R25-C10.bam	G1
SA501X6XB00969-A95670B-R25-C11.bam	G1
SA501X6XB00969-A95670B-R25-C12.bam	G1
SA501X6XB00969-A95670B-R25-C14.bam	G1
SA501X6XB00969-A95670B-R25-C16.bam	G1
SA501X6XB00969-A95670B-R25-C17.bam	G1
SA501X6XB00969-A95670B-R25-C18.bam	S
SA501X6XB00969-A95670B-R25-C21.bam	G1
SA501X6XB00969-A95670B-R25-C27.bam	G1
SA501X6XB00969-A95670B-R25-C31.bam	G1
SA501X6XB00969-A95670B-R25-C34.bam	G1
SA501X6XB00969-A95670B-R25-C35.bam	S
SA501X6XB00969-A95670B-R25-C36.bam	S
SA501X6XB00969-A95670B-R25-C37.bam	G1
SA501X6XB00969-A95670B-R25-C39.bam	G1
SA501X6XB00969-A95670B-R25-C40.bam	G1
SA501X6XB00969-A95670B-R25-C42.bam	G1
SA501X6XB00969-A95670B-R25-C44.bam	G1
SA501X6XB00969-A95670B-R25-C47.bam	S
SA501X6XB00969-A95670B-R25-C50.bam	G1
SA501X6XB00969-A95670B-R25-C52.bam	G1
SA501X6XB00969-A95670B-R25-C54.bam	G1
SA501X6XB00969-A95670B-R25-C56.bam	G1
SA501X6XB00969-A95670B-R25-C57.bam	G1
SA501X6XB00969-A95670B-R25-C59.bam	G1
SA501X6XB00969-A95670B-R25-C60.bam	G1
SA501X6XB00969-A95670B-R25-C66.bam	G1
SA501X6XB00969-A95670B-R26-C08.bam	G1
SA501X6XB00969-A95670B-R26-C09.bam	G1
SA501X6XB00969-A95670B-R26-C12.bam	G1
SA501X6XB00969-A95670B-R26-C15.bam	G1
SA501X6XB00969-A95670B-R26-C19.bam	G1
SA501X6XB00969-A95670B-R26-C25.bam	G1
SA501X6XB00969-A95670B-R26-C29.bam	G1
SA501X6XB00969-A95670B-R26-C30.bam	G1
SA501X6XB00969-A95670B-R26-C31.bam	G1
SA501X6XB00969-A95670B-R26-C34.bam	G1
SA501X6XB00969-A95670B-R26-C35.bam	G1
SA501X6XB00969-A95670B-R26-C38.bam	G1
SA501X6XB00969-A95670B-R26-C39.bam	S
SA501X6XB00969-A95670B-R26-C41.bam	G1
SA501X6XB00969-A95670B-R26-C44.bam	S
SA501X6XB00969-A95670B-R26-C46.bam	G1
SA501X6XB00969-A95670B-R26-C49.bam	G1
SA501X6XB00969-A95670B-R26-C50.bam	G1
SA501X6XB00969-A95670B-R26-C54.bam	G1
SA501X6XB00969-A95670B-R26-C55.bam	S
SA501X6XB00969-A95670B-R26-C65.bam	G1
SA501X6XB00969-A95670B-R26-C68.bam	G1
SA501X6XB00969-A95670B-R26-C69.bam	G1
SA501X6XB00969-A95670B-R27-C10.bam	S
SA501X6XB00969-A95670B-R27-C11.bam	G1
SA501X6XB00969-A95670B-R27-C12.bam	G1
SA501X6XB00969-A95670B-R27-C13.bam	G1
SA501X6XB00969-A95670B-R27-C14.bam	G1
SA501X6XB00969-A95670B-R27-C15.bam	G1
SA501X6XB00969-A95670B-R27-C18.bam	G1
SA501X6XB00969-A95670B-R27-C19.bam	G1
SA501X6XB00969-A95670B-R27-C20.bam	S
