Cell	Phase	Subpopulation
SA535X8XB0143-A95736A-R03-C08.bam	G1	1
SA535X8XB0143-A95736A-R03-C09.bam	G1	1
SA535X8XB0143-A95736A-R03-C11.bam	S	1
SA535X8XB0143-A95736A-R03-C16.bam	G1	1
SA535X8XB0143-A95736A-R03-C19.bam	S	1
SA535X8XB0143-A95736A-R03-C22.bam	G1	1
SA535X8XB0143-A95736A-R03-C26.bam	G1	1
SA535X8XB0143-A95736A-R03-C28.bam	G1	2
SA535X8XB0143-A95736A-R03-C29.bam	S	1
SA535X8XB0143-A95736A-R03-C38.bam	G1	1
SA535X8XB0143-A95736A-R03-C43.bam	G1	1
SA535X8XB0143-A95736A-R03-C56.bam	S	1
SA535X8XB0143-A95736A-R03-C57.bam	S	1
SA535X8XB0143-A95736A-R03-C66.bam	G1	2
SA535X8XB0143-A95736A-R03-C70.bam	S	1
SA535X8XB0143-A95736A-R04-C10.bam	G1	1
SA535X8XB0143-A95736A-R04-C17.bam	G1	1
SA535X8XB0143-A95736A-R04-C24.bam	G1	1
SA535X8XB0143-A95736A-R04-C26.bam	S	1
SA535X8XB0143-A95736A-R04-C29.bam	S	1
SA535X8XB0143-A95736A-R04-C30.bam	G1	1
SA535X8XB0143-A95736A-R04-C31.bam	G1	1
SA535X8XB0143-A95736A-R04-C33.bam	G1	2
SA535X8XB0143-A95736A-R04-C36.bam	G1	1
SA535X8XB0143-A95736A-R04-C51.bam	S	1
SA535X8XB0143-A95736A-R04-C55.bam	G1	1
SA535X8XB0143-A95736A-R04-C56.bam	G1	2
SA535X8XB0143-A95736A-R04-C62.bam	G1	1
SA535X8XB0143-A95736A-R04-C63.bam	G1	1
SA535X8XB0143-A95736A-R04-C68.bam	G1	1
SA535X8XB0143-A95736A-R04-C69.bam	G1	1
SA535X8XB0143-A95736A-R05-C19.bam	S	1
SA535X8XB0143-A95736A-R05-C22.bam	G1	1
SA535X8XB0143-A95736A-R05-C23.bam	G1	1
SA535X8XB0143-A95736A-R05-C24.bam	S	1
SA535X8XB0143-A95736A-R05-C27.bam	G1	1
SA535X8XB0143-A95736A-R05-C33.bam	G1	2
SA535X8XB0143-A95736A-R05-C43.bam	G1	1
SA535X8XB0143-A95736A-R05-C48.bam	G1	1
SA535X8XB0143-A95736A-R05-C49.bam	G1	2
SA535X8XB0143-A95736A-R05-C57.bam	G1	1
SA535X8XB0143-A95736A-R05-C64.bam	G1	1
SA535X8XB0143-A95736A-R05-C69.bam	G1	1
SA535X8XB0143-A95736A-R06-C09.bam	G1	1
SA535X8XB0143-A95736A-R06-C11.bam	G1	1
SA535X8XB0143-A95736A-R06-C18.bam	G1	1
SA535X8XB0143-A95736A-R06-C25.bam	S	1
SA535X8XB0143-A95736A-R06-C26.bam	G1	1
SA535X8XB0143-A95736A-R06-C27.bam	G1	1
SA535X8XB0143-A95736A-R06-C35.bam	G1	2
SA535X8XB0143-A95736A-R06-C36.bam	G1	1
SA535X8XB0143-A95736A-R06-C38.bam	G1	1
SA535X8XB0143-A95736A-R06-C39.bam	G1	1
SA535X8XB0143-A95736A-R06-C41.bam	G1	1
SA535X8XB0143-A95736A-R06-C54.bam	G1	1
SA535X8XB0143-A95736A-R06-C61.bam	G1	1
SA535X8XB0143-A95736A-R06-C63.bam	G1	1
SA535X8XB0143-A95736A-R06-C68.bam	G1	1
SA535X8XB0143-A95736A-R06-C70.bam	S	1
SA535X8XB0143-A95736A-R07-C09.bam	G1	2
SA535X8XB0143-A95736A-R07-C20.bam	G1	1
