Cell	Phase
SA609X6XB01898-A95632B-R22-C14.bam	S
SA609X6XB01898-A95632B-R22-C20.bam	S
SA609X6XB01898-A95632B-R22-C22.bam	G1
SA609X6XB01898-A95632B-R22-C24.bam	S
SA609X6XB01898-A95632B-R22-C25.bam	S
SA609X6XB01898-A95632B-R22-C28.bam	S
SA609X6XB01898-A95632B-R22-C29.bam	G1
SA609X6XB01898-A95632B-R22-C30.bam	S
SA609X6XB01898-A95632B-R22-C31.bam	S
SA609X6XB01898-A95632B-R22-C32.bam	S
SA609X6XB01898-A95632B-R22-C35.bam	S
SA609X6XB01898-A95632B-R22-C38.bam	S
SA609X6XB01898-A95632B-R22-C39.bam	S
SA609X6XB01898-A95632B-R22-C42.bam	S
SA609X6XB01898-A95632B-R22-C43.bam	S
SA609X6XB01898-A95632B-R22-C44.bam	S
SA609X6XB01898-A95632B-R22-C46.bam	S
SA609X6XB01898-A95632B-R22-C48.bam	S
SA609X6XB01898-A95632B-R22-C50.bam	S
SA609X6XB01898-A95632B-R22-C51.bam	S
SA609X6XB01898-A95632B-R22-C54.bam	G1
SA609X6XB01898-A95632B-R22-C55.bam	S
SA609X6XB01898-A95632B-R22-C56.bam	S
SA609X6XB01898-A95632B-R22-C58.bam	S
SA609X6XB01898-A95632B-R22-C60.bam	S
SA609X6XB01898-A95632B-R22-C63.bam	S
SA609X6XB01898-A95632B-R22-C66.bam	S
SA609X6XB01898-A95632B-R22-C68.bam	S
SA609X6XB01898-A95632B-R22-C70.bam	S
SA609X6XB01898-A95632B-R23-C15.bam	S
SA609X6XB01898-A95632B-R23-C16.bam	G1
SA609X6XB01898-A95632B-R23-C17.bam	S
SA609X6XB01898-A95632B-R23-C18.bam	S
SA609X6XB01898-A95632B-R23-C19.bam	S
SA609X6XB01898-A95632B-R23-C20.bam	S
SA609X6XB01898-A95632B-R23-C23.bam	S
SA609X6XB01898-A95632B-R23-C24.bam	S
SA609X6XB01898-A95632B-R23-C26.bam	S
SA609X6XB01898-A95632B-R23-C28.bam	S
SA609X6XB01898-A95632B-R23-C29.bam	S
SA609X6XB01898-A95632B-R23-C30.bam	S
SA609X6XB01898-A95632B-R23-C34.bam	S
SA609X6XB01898-A95632B-R23-C35.bam	S
SA609X6XB01898-A95632B-R23-C36.bam	S
SA609X6XB01898-A95632B-R23-C38.bam	S
SA609X6XB01898-A95632B-R23-C39.bam	S
SA609X6XB01898-A95632B-R23-C40.bam	S
SA609X6XB01898-A95632B-R23-C41.bam	S
SA609X6XB01898-A95632B-R23-C42.bam	S
SA609X6XB01898-A95632B-R23-C44.bam	S
SA609X6XB01898-A95632B-R23-C48.bam	S
SA609X6XB01898-A95632B-R23-C49.bam	S
SA609X6XB01898-A95632B-R23-C51.bam	S
SA609X6XB01898-A95632B-R23-C54.bam	G1
SA609X6XB01898-A95632B-R23-C55.bam	S
SA609X6XB01898-A95632B-R23-C56.bam	S
SA609X6XB01898-A95632B-R23-C59.bam	S
SA609X6XB01898-A95632B-R23-C61.bam	S
SA609X6XB01898-A95632B-R23-C64.bam	S
SA609X6XB01898-A95632B-R23-C66.bam	S
SA609X6XB01898-A95632B-R23-C67.bam	S
SA609X6XB01898-A95632B-R23-C70.bam	S
SA609X6XB01898-A95632B-R24-C15.bam	S
SA609X6XB01898-A95632B-R24-C16.bam	S
SA609X6XB01898-A95632B-R24-C17.bam	S
SA609X6XB01898-A95632B-R24-C18.bam	S
SA609X6XB01898-A95632B-R24-C20.bam	S
SA609X6XB01898-A95632B-R24-C22.bam	S
SA609X6XB01898-A95632B-R24-C23.bam	S
SA609X6XB01898-A95632B-R24-C24.bam	S
SA609X6XB01898-A95632B-R24-C25.bam	S
SA609X6XB01898-A95632B-R24-C26.bam	S
SA609X6XB01898-A95632B-R24-C27.bam	S
SA609X6XB01898-A95632B-R24-C28.bam	S
SA609X6XB01898-A95632B-R24-C29.bam	S
SA609X6XB01898-A95632B-R24-C30.bam	S
SA609X6XB01898-A95632B-R24-C32.bam	S
SA609X6XB01898-A95632B-R24-C34.bam	S
SA609X6XB01898-A95632B-R24-C35.bam	S
SA609X6XB01898-A95632B-R24-C36.bam	S
SA609X6XB01898-A95632B-R24-C38.bam	S
SA609X6XB01898-A95632B-R24-C39.bam	G1
