Cell	Phase
SA995X5XB01910-A95664A-R04-C09.bam	S
SA995X5XB01910-A95664A-R04-C14.bam	S
SA995X5XB01910-A95664A-R04-C21.bam	S
SA995X5XB01910-A95664A-R04-C22.bam	S
SA995X5XB01910-A95664A-R04-C31.bam	S
SA995X5XB01910-A95664A-R04-C37.bam	S
SA995X5XB01910-A95664A-R04-C43.bam	S
SA995X5XB01910-A95664A-R04-C50.bam	S
SA995X5XB01910-A95664A-R04-C51.bam	S
SA995X5XB01910-A95664A-R04-C61.bam	S
SA995X5XB01910-A95664A-R05-C08.bam	S
SA995X5XB01910-A95664A-R05-C13.bam	S
SA995X5XB01910-A95664A-R05-C16.bam	S
SA995X5XB01910-A95664A-R05-C17.bam	S
SA995X5XB01910-A95664A-R05-C18.bam	S
SA995X5XB01910-A95664A-R05-C70.bam	S
SA995X5XB01910-A95664A-R06-C13.bam	S
SA995X5XB01910-A95664A-R06-C16.bam	S
SA995X5XB01910-A95664A-R06-C28.bam	S
SA995X5XB01910-A95664A-R06-C30.bam	S
SA995X5XB01910-A95664A-R06-C32.bam	G1
SA995X5XB01910-A95664A-R06-C41.bam	S
SA995X5XB01910-A95664A-R06-C42.bam	S
SA995X5XB01910-A95664A-R06-C51.bam	G1
SA995X5XB01910-A95664A-R06-C66.bam	S
SA995X5XB01910-A95664A-R07-C13.bam	G1
SA995X5XB01910-A95664A-R07-C30.bam	G1
SA995X5XB01910-A95664A-R07-C47.bam	S
SA995X5XB01910-A95664A-R07-C49.bam	G1
SA995X5XB01910-A95664A-R07-C59.bam	S
SA995X5XB01910-A95664A-R07-C60.bam	S
SA995X5XB01910-A95664A-R08-C09.bam	S
SA995X5XB01910-A95664A-R08-C13.bam	S
SA995X5XB01910-A95664A-R08-C16.bam	S
SA995X5XB01910-A95664A-R08-C21.bam	S
SA995X5XB01910-A95664A-R08-C24.bam	S
SA995X5XB01910-A95664A-R08-C27.bam	S
SA995X5XB01910-A95664A-R08-C28.bam	S
SA995X5XB01910-A95664A-R08-C32.bam	G1
SA995X5XB01910-A95664A-R08-C50.bam	S
SA995X5XB01910-A95664A-R08-C55.bam	S
SA995X5XB01910-A95664A-R10-C08.bam	S
SA995X5XB01910-A95664A-R10-C11.bam	S
SA995X5XB01910-A95664A-R10-C12.bam	S
SA995X5XB01910-A95664A-R10-C13.bam	S
SA995X5XB01910-A95664A-R10-C17.bam	S
SA995X5XB01910-A95664A-R10-C18.bam	G1
SA995X5XB01910-A95664A-R10-C19.bam	S
SA995X5XB01910-A95664A-R10-C21.bam	S
SA995X5XB01910-A95664A-R10-C25.bam	G1
SA995X5XB01910-A95664A-R10-C26.bam	S
SA995X5XB01910-A95664A-R10-C27.bam	S
SA995X5XB01910-A95664A-R10-C28.bam	S
SA995X5XB01910-A95664A-R10-C30.bam	S
SA995X5XB01910-A95664A-R10-C32.bam	S
SA995X5XB01910-A95664A-R10-C46.bam	S
SA995X5XB01910-A95664A-R10-C54.bam	S
SA995X5XB01910-A95664A-R10-C56.bam	S
SA995X5XB01910-A95664A-R10-C58.bam	S
SA995X5XB01910-A95664A-R10-C66.bam	G1
SA995X5XB01910-A95664A-R11-C07.bam	S
SA995X5XB01910-A95664A-R11-C23.bam	S
SA995X5XB01910-A95664A-R11-C24.bam	G1
SA995X5XB01910-A95664A-R11-C29.bam	S
SA995X5XB01910-A95664A-R12-C14.bam	S
SA995X5XB01910-A95664A-R12-C26.bam	S
SA995X5XB01910-A95664A-R12-C28.bam	S
SA995X5XB01910-A95664A-R12-C54.bam	S
SA995X5XB01910-A95664A-R13-C14.bam	S
SA995X5XB01910-A95664A-R13-C16.bam	S
SA995X5XB01910-A95664A-R13-C19.bam	S
SA995X5XB01910-A95664A-R13-C25.bam	S
SA995X5XB01910-A95664A-R13-C32.bam	S
SA995X5XB01910-A95664A-R13-C37.bam	S
SA995X5XB01910-A95664A-R13-C43.bam	S
SA995X5XB01910-A95664A-R13-C48.bam	S
SA995X5XB01910-A95664A-R13-C60.bam	S
SA995X5XB01910-A95664A-R14-C20.bam	S
SA995X5XB01910-A95664A-R14-C22.bam	S
SA995X5XB01910-A95664A-R14-C23.bam	S
SA995X5XB01910-A95664A-R14-C25.bam	S
SA995X5XB01910-A95664A-R14-C29.bam	S
SA995X5XB01910-A95664A-R14-C31.bam	S
SA995X5XB01910-A95664A-R15-C10.bam	S
SA995X5XB01910-A95664A-R15-C14.bam	S
SA995X5XB01910-A95664A-R15-C15.bam	S
SA995X5XB01910-A95664A-R15-C22.bam	S
SA995X5XB01910-A95664A-R15-C24.bam	S
SA995X5XB01910-A95664A-R15-C25.bam	S
SA995X5XB01910-A95664A-R15-C28.bam	S
SA995X5XB01910-A95664A-R15-C38.bam	S
