Cell	Phase
SA609X7XB02184-A95728A-R04-C07.bam	S
SA609X7XB02184-A95728A-R04-C09.bam	S
SA609X7XB02184-A95728A-R04-C14.bam	S
SA609X7XB02184-A95728A-R04-C16.bam	S
SA609X7XB02184-A95728A-R04-C17.bam	S
SA609X7XB02184-A95728A-R04-C19.bam	S
SA609X7XB02184-A95728A-R04-C20.bam	S
SA609X7XB02184-A95728A-R04-C21.bam	S
SA609X7XB02184-A95728A-R04-C22.bam	S
SA609X7XB02184-A95728A-R04-C23.bam	S
SA609X7XB02184-A95728A-R04-C25.bam	S
SA609X7XB02184-A95728A-R04-C27.bam	S
SA609X7XB02184-A95728A-R04-C28.bam	S
SA609X7XB02184-A95728A-R04-C30.bam	G1
SA609X7XB02184-A95728A-R04-C34.bam	S
SA609X7XB02184-A95728A-R04-C35.bam	S
SA609X7XB02184-A95728A-R04-C37.bam	S
SA609X7XB02184-A95728A-R04-C38.bam	S
SA609X7XB02184-A95728A-R04-C40.bam	S
SA609X7XB02184-A95728A-R04-C42.bam	S
SA609X7XB02184-A95728A-R04-C46.bam	G1
SA609X7XB02184-A95728A-R04-C49.bam	S
SA609X7XB02184-A95728A-R04-C50.bam	S
SA609X7XB02184-A95728A-R04-C52.bam	S
SA609X7XB02184-A95728A-R04-C59.bam	S
SA609X7XB02184-A95728A-R05-C08.bam	S
SA609X7XB02184-A95728A-R05-C09.bam	S
SA609X7XB02184-A95728A-R05-C10.bam	S
SA609X7XB02184-A95728A-R05-C11.bam	S
SA609X7XB02184-A95728A-R05-C12.bam	S
SA609X7XB02184-A95728A-R05-C13.bam	S
SA609X7XB02184-A95728A-R05-C14.bam	S
SA609X7XB02184-A95728A-R05-C15.bam	S
SA609X7XB02184-A95728A-R05-C16.bam	S
SA609X7XB02184-A95728A-R05-C18.bam	S
SA609X7XB02184-A95728A-R05-C20.bam	S
SA609X7XB02184-A95728A-R05-C21.bam	S
SA609X7XB02184-A95728A-R05-C23.bam	S
SA609X7XB02184-A95728A-R05-C24.bam	S
SA609X7XB02184-A95728A-R05-C25.bam	S
SA609X7XB02184-A95728A-R05-C26.bam	S
SA609X7XB02184-A95728A-R05-C27.bam	S
SA609X7XB02184-A95728A-R05-C28.bam	S
SA609X7XB02184-A95728A-R05-C29.bam	S
SA609X7XB02184-A95728A-R05-C30.bam	S
SA609X7XB02184-A95728A-R05-C32.bam	S
SA609X7XB02184-A95728A-R05-C34.bam	S
SA609X7XB02184-A95728A-R05-C36.bam	S
SA609X7XB02184-A95728A-R05-C41.bam	S
SA609X7XB02184-A95728A-R05-C42.bam	S
SA609X7XB02184-A95728A-R05-C43.bam	S
SA609X7XB02184-A95728A-R05-C45.bam	G1
SA609X7XB02184-A95728A-R05-C46.bam	S
SA609X7XB02184-A95728A-R05-C47.bam	S
SA609X7XB02184-A95728A-R05-C49.bam	G1
SA609X7XB02184-A95728A-R05-C54.bam	G1
SA609X7XB02184-A95728A-R05-C57.bam	S
SA609X7XB02184-A95728A-R05-C60.bam	S
SA609X7XB02184-A95728A-R05-C61.bam	S
SA609X7XB02184-A95728A-R05-C64.bam	S
SA609X7XB02184-A95728A-R06-C09.bam	S
SA609X7XB02184-A95728A-R06-C12.bam	S
