Cell	Subpopulation
SA1135-A96199A-R03-C10	1
SA1135-A96199A-R03-C12	2
SA1135-A96199A-R03-C19	2
SA1135-A96199A-R03-C25	2
SA1135-A96199A-R03-C29	1
SA1135-A96199A-R03-C30	2
SA1135-A96199A-R03-C32	2
SA1135-A96199A-R03-C35	3
SA1135-A96199A-R03-C45	3
SA1135-A96199A-R03-C46	2
SA1135-A96199A-R03-C47	3
SA1135-A96199A-R03-C53	3
SA1135-A96199A-R03-C67	2
SA1135-A96199A-R03-C69	1
SA1135-A96199A-R04-C07	1
SA1135-A96199A-R04-C08	1
SA1135-A96199A-R04-C11	2
SA1135-A96199A-R04-C15	1
SA1135-A96199A-R04-C18	1
SA1135-A96199A-R04-C21	2
SA1135-A96199A-R04-C27	3
SA1135-A96199A-R04-C39	2
SA1135-A96199A-R04-C43	1
SA1135-A96199A-R04-C59	2
SA1135-A96199A-R05-C08	2
SA1135-A96199A-R05-C10	2
SA1135-A96199A-R05-C12	3
SA1135-A96199A-R05-C16	1
SA1135-A96199A-R05-C18	1
SA1135-A96199A-R05-C25	3
SA1135-A96199A-R05-C36	2
SA1135-A96199A-R05-C42	2
SA1135-A96199A-R05-C55	1
SA1135-A96199A-R05-C57	1
SA1135-A96199A-R05-C67	1
SA1135-A96199A-R06-C12	1
SA1135-A96199A-R06-C14	1
SA1135-A96199A-R06-C17	2
SA1135-A96199A-R06-C20	3
SA1135-A96199A-R06-C21	1
SA1135-A96199A-R06-C29	3
SA1135-A96199A-R06-C32	1
SA1135-A96199A-R06-C34	3
SA1135-A96199A-R06-C38	3
SA1135-A96199A-R06-C46	2
SA1135-A96199A-R06-C48	1
SA1135-A96199A-R06-C49	2
SA1135-A96199A-R06-C51	1
SA1135-A96199A-R06-C56	1
SA1135-A96199A-R06-C59	1
SA1135-A96199A-R06-C60	3
SA1135-A96199A-R06-C61	1
SA1135-A96199A-R06-C65	3
SA1135-A96199A-R06-C66	1
SA1135-A96199A-R07-C20	2
SA1135-A96199A-R07-C24	1
SA1135-A96199A-R07-C45	1
SA1135-A96199A-R07-C56	3
SA1135-A96199A-R07-C63	3
SA1135-A96199A-R07-C64	2
SA1135-A96199A-R07-C66	2
