Cell	Phase	Subpopulation
SA532X2XB00147-A96165A-R04-C22.bam	G1	1
SA532X2XB00147-A96165A-R04-C32.bam	G1	2
SA532X2XB00147-A96165A-R04-C34.bam	G1	2
SA532X2XB00147-A96165A-R04-C35.bam	G1	2
SA532X2XB00147-A96165A-R04-C40.bam	G1	2
SA532X2XB00147-A96165A-R04-C53.bam	G1	2
SA532X2XB00147-A96165A-R04-C56.bam	S	1
SA532X2XB00147-A96165A-R05-C07.bam	G1	2
SA532X2XB00147-A96165A-R05-C21.bam	G1	2
SA532X2XB00147-A96165A-R05-C32.bam	S	2
SA532X2XB00147-A96165A-R05-C33.bam	G1	2
SA532X2XB00147-A96165A-R05-C42.bam	S	1
SA532X2XB00147-A96165A-R05-C44.bam	S	1
SA532X2XB00147-A96165A-R05-C46.bam	S	1
SA532X2XB00147-A96165A-R05-C47.bam	G1	2
SA532X2XB00147-A96165A-R05-C49.bam	S	1
SA532X2XB00147-A96165A-R05-C50.bam	G1	2
SA532X2XB00147-A96165A-R05-C60.bam	G1	2
SA532X2XB00147-A96165A-R06-C17.bam	G1	2
SA532X2XB00147-A96165A-R06-C18.bam	S	1
SA532X2XB00147-A96165A-R06-C21.bam	G1	2
SA532X2XB00147-A96165A-R06-C28.bam	G1	2
SA532X2XB00147-A96165A-R06-C31.bam	G1	2
SA532X2XB00147-A96165A-R06-C35.bam	G1	2
SA532X2XB00147-A96165A-R06-C40.bam	G1	1
SA532X2XB00147-A96165A-R06-C44.bam	G1	2
SA532X2XB00147-A96165A-R06-C48.bam	G1	2
SA532X2XB00147-A96165A-R06-C51.bam	S	2
SA532X2XB00147-A96165A-R06-C59.bam	S	1
SA532X2XB00147-A96165A-R06-C61.bam	G1	1
SA532X2XB00147-A96165A-R06-C63.bam	S	1
SA532X2XB00147-A96165A-R07-C13.bam	G1	1
SA532X2XB00147-A96165A-R07-C15.bam	S	2
SA532X2XB00147-A96165A-R07-C22.bam	G1	2
SA532X2XB00147-A96165A-R07-C23.bam	G1	2
SA532X2XB00147-A96165A-R07-C24.bam	G1	2
SA532X2XB00147-A96165A-R07-C33.bam	G1	2
SA532X2XB00147-A96165A-R07-C53.bam	G1	2
SA532X2XB00147-A96165A-R07-C61.bam	G1	2
SA532X2XB00147-A96165A-R07-C64.bam	G1	2
SA532X2XB00147-A96165A-R08-C06.bam	S	1
SA532X2XB00147-A96165A-R08-C16.bam	G1	2
SA532X2XB00147-A96165A-R08-C26.bam	S	1
SA532X2XB00147-A96165A-R08-C27.bam	G1	2
SA532X2XB00147-A96165A-R08-C47.bam	S	1
SA532X2XB00147-A96165A-R08-C49.bam	G1	2
SA532X2XB00147-A96165A-R08-C51.bam	G1	1
SA532X2XB00147-A96165A-R08-C54.bam	S	1
SA532X2XB00147-A96165A-R08-C64.bam	S	1
SA532X2XB00147-A96165A-R08-C67.bam	G1	2
SA532X2XB00147-A96165A-R09-C19.bam	G1	2
SA532X2XB00147-A96165A-R09-C20.bam	G1	2
SA532X2XB00147-A96165A-R09-C27.bam	G1	2
SA532X2XB00147-A96165A-R09-C36.bam	G1	2
SA532X2XB00147-A96165A-R09-C40.bam	G1	2
SA532X2XB00147-A96165A-R09-C70.bam	G1	2
SA532X2XB00147-A96165A-R10-C07.bam	G1	2
SA532X2XB00147-A96165A-R10-C08.bam	G1	1
SA532X2XB00147-A96165A-R10-C42.bam	S	1
SA532X2XB00147-A96165A-R11-C32.bam	G1	2
SA532X2XB00147-A96165A-R11-C42.bam	G1	2
SA532X2XB00147-A96165A-R11-C47.bam	S	2
SA532X2XB00147-A96165A-R11-C48.bam	G1	2
SA532X2XB00147-A96165A-R11-C49.bam	G1	1
SA532X2XB00147-A96165A-R11-C51.bam	G1	2
SA532X2XB00147-A96165A-R11-C52.bam	G1	2
SA532X2XB00147-A96165A-R11-C57.bam	G1	2
SA532X2XB00147-A96165A-R11-C58.bam	G1	2
SA532X2XB00147-A96165A-R11-C59.bam	G1	2
SA532X2XB00147-A96165A-R11-C60.bam	G1	2
SA532X2XB00147-A96165A-R11-C63.bam	G1	2
SA532X2XB00147-A96165A-R11-C70.bam	S	1
SA532X2XB00147-A96165A-R12-C09.bam	G1	2
SA532X2XB00147-A96165A-R12-C11.bam	G1	2
SA532X2XB00147-A96165A-R12-C13.bam	G1	1
SA532X2XB00147-A96165A-R12-C14.bam	G1	1
SA532X2XB00147-A96165A-R12-C15.bam	G1	2
SA532X2XB00147-A96165A-R12-C16.bam	G1	1
SA532X2XB00147-A96165A-R12-C18.bam	G1	2
SA532X2XB00147-A96165A-R12-C20.bam	G1	2
SA532X2XB00147-A96165A-R12-C21.bam	G1	1
SA532X2XB00147-A96165A-R12-C23.bam	G1	2
SA532X2XB00147-A96165A-R12-C32.bam	G1	2
SA532X2XB00147-A96165A-R12-C38.bam	G1	2
SA532X2XB00147-A96165A-R12-C49.bam	G1	2
SA532X2XB00147-A96165A-R12-C50.bam	G1	2
SA532X2XB00147-A96165A-R12-C54.bam	S	1
SA532X2XB00147-A96165A-R12-C55.bam	G1	2
SA532X2XB00147-A96165A-R12-C56.bam	G1	2
SA532X2XB00147-A96165A-R12-C59.bam	G1	2
SA532X2XB00147-A96165A-R12-C60.bam	S	1
