Cell	Subpopulation
SA1054-A95632A-R04-C10	1
SA1054-A95632A-R04-C12	2
SA1054-A95632A-R04-C13	2
SA1054-A95632A-R04-C15	1
SA1054-A95632A-R04-C19	4
SA1054-A95632A-R04-C20	3
SA1054-A95632A-R04-C21	3
SA1054-A95632A-R04-C24	2
SA1054-A95632A-R04-C25	2
SA1054-A95632A-R04-C26	4
SA1054-A95632A-R04-C29	4
SA1054-A95632A-R04-C31	1
SA1054-A95632A-R04-C33	3
SA1054-A95632A-R04-C34	2
SA1054-A95632A-R04-C35	4
SA1054-A95632A-R04-C39	2
SA1054-A95632A-R04-C40	1
SA1054-A95632A-R04-C48	4
SA1054-A95632A-R04-C49	1
SA1054-A95632A-R04-C50	4
SA1054-A95632A-R04-C51	4
SA1054-A95632A-R04-C52	3
SA1054-A95632A-R04-C54	2
SA1054-A95632A-R04-C55	2
SA1054-A95632A-R04-C57	3
SA1054-A95632A-R04-C61	3
SA1054-A95632A-R04-C64	4
SA1054-A95632A-R04-C66	3
SA1054-A95632A-R04-C67	3
SA1054-A95632A-R04-C68	3
SA1054-A95632A-R04-C70	3
SA1054-A95632A-R05-C10	4
SA1054-A95632A-R05-C13	1
SA1054-A95632A-R05-C17	1
SA1054-A95632A-R05-C19	3
SA1054-A95632A-R05-C20	3
SA1054-A95632A-R05-C21	2
SA1054-A95632A-R05-C24	3
SA1054-A95632A-R05-C25	1
SA1054-A95632A-R05-C26	3
SA1054-A95632A-R05-C27	1
SA1054-A95632A-R05-C29	3
SA1054-A95632A-R05-C37	3
SA1054-A95632A-R05-C38	3
SA1054-A95632A-R05-C39	2
SA1054-A95632A-R05-C43	4
SA1054-A95632A-R05-C45	3
SA1054-A95632A-R05-C48	3
SA1054-A95632A-R05-C50	2
SA1054-A95632A-R05-C51	3
SA1054-A95632A-R05-C53	3
SA1054-A95632A-R05-C54	1
SA1054-A95632A-R05-C55	3
SA1054-A95632A-R05-C59	3
SA1054-A95632A-R05-C61	3
SA1054-A95632A-R05-C62	1
SA1054-A95632A-R05-C64	2
SA1054-A95632A-R05-C65	2
SA1054-A95632A-R05-C66	3
SA1054-A95632A-R05-C67	1
SA1054-A95632A-R05-C68	3
SA1054-A95632A-R05-C70	4
SA1054-A95632A-R06-C13	3
SA1054-A95632A-R06-C14	3
SA1054-A95632A-R06-C15	3
SA1054-A95632A-R06-C16	2
SA1054-A95632A-R06-C18	3
SA1054-A95632A-R06-C20	1
SA1054-A95632A-R06-C21	4
SA1054-A95632A-R06-C22	3
SA1054-A95632A-R06-C28	1
SA1054-A95632A-R06-C29	4
SA1054-A95632A-R06-C30	3
SA1054-A95632A-R06-C32	4
SA1054-A95632A-R06-C34	3
SA1054-A95632A-R06-C35	3
SA1054-A95632A-R06-C37	3
SA1054-A95632A-R06-C39	1
SA1054-A95632A-R06-C40	4
SA1054-A95632A-R06-C41	3
SA1054-A95632A-R06-C45	3
SA1054-A95632A-R06-C47	4
SA1054-A95632A-R06-C48	3
SA1054-A95632A-R06-C49	2
SA1054-A95632A-R06-C51	2
SA1054-A95632A-R06-C52	3
SA1054-A95632A-R06-C53	4
SA1054-A95632A-R06-C54	2
SA1054-A95632A-R06-C55	3
SA1054-A95632A-R06-C57	3
SA1054-A95632A-R06-C58	3
SA1054-A95632A-R06-C59	2
SA1054-A95632A-R06-C61	1
SA1054-A95632A-R06-C62	4
SA1054-A95632A-R06-C64	1
SA1054-A95632A-R06-C66	3
SA1054-A95632A-R06-C68	4
SA1054-A95632A-R06-C69	1
SA1054-A95632A-R06-C70	4
SA1054-A95632A-R07-C13	1
SA1054-A95632A-R07-C15	3
SA1054-A95632A-R07-C17	4
SA1054-A95632A-R07-C21	3
SA1054-A95632A-R07-C22	3
SA1054-A95632A-R07-C23	3
SA1054-A95632A-R07-C25	3
SA1054-A95632A-R07-C29	1
SA1054-A95632A-R07-C31	2
SA1054-A95632A-R07-C33	4
SA1054-A95632A-R07-C34	3
SA1054-A95632A-R07-C37	1
SA1054-A95632A-R07-C38	3
