Cell	Phase	Subpopulation
SA1090-A96213A-R20-C08.bam	S	2
SA1090-A96213A-R20-C09.bam	G1	1
SA1090-A96213A-R20-C10.bam	G1	1
SA1090-A96213A-R20-C11.bam	G1	1
SA1090-A96213A-R20-C12.bam	S	1
SA1090-A96213A-R20-C13.bam	S	3
SA1090-A96213A-R20-C14.bam	G1	2
SA1090-A96213A-R20-C17.bam	S	4
SA1090-A96213A-R20-C18.bam	G1	2
SA1090-A96213A-R20-C19.bam	G1	1
SA1090-A96213A-R20-C20.bam	S	2
SA1090-A96213A-R20-C21.bam	G1	3
SA1090-A96213A-R20-C22.bam	S	1
SA1090-A96213A-R20-C23.bam	G1	2
SA1090-A96213A-R20-C24.bam	S	1
SA1090-A96213A-R20-C25.bam	G1	3
SA1090-A96213A-R20-C26.bam	G1	1
SA1090-A96213A-R20-C27.bam	S	1
SA1090-A96213A-R20-C28.bam	G1	4
SA1090-A96213A-R20-C30.bam	G1	1
SA1090-A96213A-R20-C31.bam	G1	4
SA1090-A96213A-R20-C33.bam	S	1
SA1090-A96213A-R20-C34.bam	S	2
SA1090-A96213A-R20-C35.bam	G1	1
SA1090-A96213A-R20-C37.bam	G1	3
SA1090-A96213A-R20-C38.bam	S	4
SA1090-A96213A-R20-C39.bam	S	2
SA1090-A96213A-R20-C40.bam	G1	4
SA1090-A96213A-R20-C41.bam	G1	3
SA1090-A96213A-R20-C43.bam	G1	4
SA1090-A96213A-R20-C44.bam	S	2
SA1090-A96213A-R20-C46.bam	S	2
SA1090-A96213A-R20-C47.bam	S	2
SA1090-A96213A-R20-C48.bam	G1	3
SA1090-A96213A-R20-C49.bam	G1	1
SA1090-A96213A-R20-C50.bam	G1	3
SA1090-A96213A-R20-C51.bam	S	2
SA1090-A96213A-R20-C56.bam	G1	3
SA1090-A96213A-R20-C57.bam	G1	2
SA1090-A96213A-R20-C61.bam	G1	1
SA1090-A96213A-R20-C62.bam	G1	3
SA1090-A96213A-R20-C63.bam	S	2
SA1090-A96213A-R20-C64.bam	S	1
SA1090-A96213A-R20-C68.bam	S	2
SA1090-A96213A-R20-C69.bam	G1	2
SA1090-A96213A-R21-C07.bam	G1	2
SA1090-A96213A-R22-C17.bam	S	1
SA1090-A96213A-R22-C18.bam	S	1
SA1090-A96213A-R22-C20.bam	G1	4
SA1090-A96213A-R22-C21.bam	G1	1
SA1090-A96213A-R22-C22.bam	G1	3
SA1090-A96213A-R22-C23.bam	S	2
SA1090-A96213A-R22-C24.bam	G1	1
SA1090-A96213A-R22-C26.bam	G1	3
SA1090-A96213A-R22-C27.bam	G1	3
SA1090-A96213A-R22-C28.bam	G1	1
SA1090-A96213A-R22-C29.bam	G1	2
SA1090-A96213A-R22-C30.bam	G1	2
SA1090-A96213A-R22-C31.bam	S	1
SA1090-A96213A-R22-C32.bam	S	4
SA1090-A96213A-R22-C33.bam	G1	3
SA1090-A96213A-R22-C35.bam	S	2
SA1090-A96213A-R22-C36.bam	S	2
SA1090-A96213A-R22-C37.bam	S	1
SA1090-A96213A-R22-C38.bam	G1	2
SA1090-A96213A-R22-C39.bam	G1	3
SA1090-A96213A-R22-C40.bam	S	1
SA1090-A96213A-R22-C41.bam	G1	2
SA1090-A96213A-R22-C42.bam	S	2
SA1090-A96213A-R22-C43.bam	G1	1
SA1090-A96213A-R22-C44.bam	G1	4
SA1090-A96213A-R22-C46.bam	G1	4
SA1090-A96213A-R22-C47.bam	G1	1
SA1090-A96213A-R22-C48.bam	S	1
SA1090-A96213A-R22-C49.bam	S	1
SA1090-A96213A-R22-C50.bam	G1	1
SA1090-A96213A-R24-C12.bam	G1	3
SA1090-A96213A-R24-C13.bam	G1	1
SA1090-A96213A-R24-C14.bam	G1	1
SA1090-A96213A-R24-C15.bam	S	1
SA1090-A96213A-R24-C16.bam	S	1
SA1090-A96213A-R24-C17.bam	G1	2
SA1090-A96213A-R24-C18.bam	G1	3
SA1090-A96213A-R24-C19.bam	S	2
SA1090-A96213A-R24-C20.bam	G1	1
SA1090-A96213A-R24-C21.bam	S	1
SA1090-A96213A-R24-C22.bam	G1	1
SA1090-A96213A-R24-C23.bam	S	1
SA1090-A96213A-R24-C24.bam	G1	4
SA1090-A96213A-R24-C25.bam	G1	4
SA1090-A96213A-R24-C26.bam	G1	4
SA1090-A96213A-R24-C27.bam	G1	4
SA1090-A96213A-R24-C28.bam	S	1
SA1090-A96213A-R24-C30.bam	G1	1
SA1090-A96213A-R24-C31.bam	G1	1
SA1090-A96213A-R24-C32.bam	G1	3
SA1090-A96213A-R24-C33.bam	G1	4
SA1090-A96213A-R24-C35.bam	S	1
SA1090-A96213A-R24-C36.bam	S	1
SA1090-A96213A-R24-C37.bam	S	2
SA1090-A96213A-R24-C38.bam	S	1
SA1090-A96213A-R24-C39.bam	S	1
SA1090-A96213A-R24-C40.bam	G1	4
SA1090-A96213A-R24-C41.bam	S	3
SA1090-A96213A-R24-C42.bam	G1	3
SA1090-A96213A-R24-C43.bam	S	1
SA1090-A96213A-R24-C44.bam	G1	1
SA1090-A96213A-R24-C45.bam	S	2
SA1090-A96213A-R24-C46.bam	G1	1
SA1090-A96213A-R24-C47.bam	G1	3
SA1090-A96213A-R24-C48.bam	G1	3
SA1090-A96213A-R24-C49.bam	S	1
SA1090-A96213A-R24-C52.bam	S	2
SA1090-A96213A-R24-C54.bam	G1	1
SA1090-A96213A-R24-C55.bam	G1	1
SA1090-A96213A-R24-C56.bam	G1	1
SA1090-A96213A-R24-C57.bam	G1	2
SA1090-A96213A-R24-C58.bam	S	2
SA1090-A96213A-R24-C59.bam	G1	1
SA1090-A96213A-R24-C61.bam	G1	2
SA1090-A96213A-R24-C63.bam	G1	1
SA1090-A96213A-R24-C64.bam	G1	3
SA1090-A96213A-R24-C65.bam	G1	3
SA1090-A96213A-R24-C66.bam	G1	1
SA1090-A96213A-R24-C67.bam	S	1
SA1090-A96213A-R24-C68.bam	G1	3
