Cell	Phase
SA609X3XB01584-A95724A-R04-C08.bam	S
SA609X3XB01584-A95724A-R04-C09.bam	S
SA609X3XB01584-A95724A-R04-C12.bam	S
SA609X3XB01584-A95724A-R04-C14.bam	S
SA609X3XB01584-A95724A-R04-C15.bam	S
SA609X3XB01584-A95724A-R04-C56.bam	S
SA609X3XB01584-A95724A-R04-C60.bam	G1
SA609X3XB01584-A95724A-R04-C63.bam	S
SA609X3XB01584-A95724A-R05-C14.bam	S
SA609X3XB01584-A95724A-R05-C15.bam	S
SA609X3XB01584-A95724A-R05-C17.bam	G1
SA609X3XB01584-A95724A-R05-C44.bam	S
SA609X3XB01584-A95724A-R06-C08.bam	S
SA609X3XB01584-A95724A-R06-C14.bam	S
SA609X3XB01584-A95724A-R06-C15.bam	S
SA609X3XB01584-A95724A-R06-C29.bam	S
SA609X3XB01584-A95724A-R06-C30.bam	S
SA609X3XB01584-A95724A-R06-C37.bam	G1
SA609X3XB01584-A95724A-R08-C14.bam	S
SA609X3XB01584-A95724A-R08-C20.bam	S
SA609X3XB01584-A95724A-R08-C23.bam	G1
SA609X3XB01584-A95724A-R08-C24.bam	S
SA609X3XB01584-A95724A-R08-C25.bam	G1
SA609X3XB01584-A95724A-R08-C26.bam	S
SA609X3XB01584-A95724A-R08-C27.bam	G1
SA609X3XB01584-A95724A-R08-C37.bam	G1
SA609X3XB01584-A95724A-R08-C40.bam	G1
SA609X3XB01584-A95724A-R08-C48.bam	S
SA609X3XB01584-A95724A-R08-C55.bam	S
SA609X3XB01584-A95724A-R08-C61.bam	S
SA609X3XB01584-A95724A-R08-C66.bam	G1
SA609X3XB01584-A95724A-R10-C13.bam	S
SA609X3XB01584-A95724A-R10-C22.bam	G1
SA609X3XB01584-A95724A-R10-C29.bam	G1
SA609X3XB01584-A95724A-R10-C30.bam	S
SA609X3XB01584-A95724A-R10-C32.bam	S
SA609X3XB01584-A95724A-R10-C35.bam	S
SA609X3XB01584-A95724A-R10-C46.bam	S
SA609X3XB01584-A95724A-R10-C47.bam	S
SA609X3XB01584-A95724A-R10-C48.bam	G1
SA609X3XB01584-A95724A-R10-C54.bam	S
SA609X3XB01584-A95724A-R10-C57.bam	G1
SA609X3XB01584-A95724A-R10-C59.bam	S
SA609X3XB01584-A95724A-R10-C60.bam	G1
SA609X3XB01584-A95724A-R11-C19.bam	S
SA609X3XB01584-A95724A-R11-C26.bam	G1
SA609X3XB01584-A95724A-R11-C29.bam	S
SA609X3XB01584-A95724A-R11-C30.bam	S
SA609X3XB01584-A95724A-R11-C31.bam	G1
SA609X3XB01584-A95724A-R11-C34.bam	S
SA609X3XB01584-A95724A-R11-C35.bam	S
SA609X3XB01584-A95724A-R11-C40.bam	S
SA609X3XB01584-A95724A-R11-C41.bam	S
SA609X3XB01584-A95724A-R11-C42.bam	S
SA609X3XB01584-A95724A-R11-C48.bam	G1
SA609X3XB01584-A95724A-R11-C54.bam	G1
SA609X3XB01584-A95724A-R11-C66.bam	S
SA609X3XB01584-A95724A-R11-C67.bam	G1
SA609X3XB01584-A95724A-R12-C07.bam	G1
SA609X3XB01584-A95724A-R12-C08.bam	S
SA609X3XB01584-A95724A-R12-C14.bam	S
SA609X3XB01584-A95724A-R12-C16.bam	S
SA609X3XB01584-A95724A-R12-C23.bam	G1
SA609X3XB01584-A95724A-R12-C24.bam	S
SA609X3XB01584-A95724A-R12-C28.bam	S
SA609X3XB01584-A95724A-R12-C29.bam	S
SA609X3XB01584-A95724A-R12-C35.bam	S
SA609X3XB01584-A95724A-R12-C48.bam	G1
SA609X3XB01584-A95724A-R12-C59.bam	S
SA609X3XB01584-A95724A-R12-C70.bam	S
SA609X3XB01584-A95724A-R13-C07.bam	S
SA609X3XB01584-A95724A-R13-C12.bam	G1
SA609X3XB01584-A95724A-R13-C14.bam	S
SA609X3XB01584-A95724A-R13-C16.bam	S
SA609X3XB01584-A95724A-R13-C17.bam	S
SA609X3XB01584-A95724A-R13-C31.bam	S
SA609X3XB01584-A95724A-R14-C08.bam	S
SA609X3XB01584-A95724A-R14-C13.bam	S
SA609X3XB01584-A95724A-R14-C14.bam	S
SA609X3XB01584-A95724A-R14-C22.bam	S
SA609X3XB01584-A95724A-R14-C23.bam	S
SA609X3XB01584-A95724A-R14-C24.bam	S
SA609X3XB01584-A95724A-R14-C29.bam	S
SA609X3XB01584-A95724A-R14-C31.bam	S
SA609X3XB01584-A95724A-R14-C37.bam	S
SA609X3XB01584-A95724A-R14-C47.bam	G1
SA609X3XB01584-A95724A-R14-C59.bam	G1
SA609X3XB01584-A95724A-R14-C66.bam	S
SA609X3XB01584-A95724A-R14-C68.bam	S
SA609X3XB01584-A95724A-R15-C07.bam	S
SA609X3XB01584-A95724A-R15-C08.bam	G1
SA609X3XB01584-A95724A-R15-C09.bam	S
SA609X3XB01584-A95724A-R15-C12.bam	G1
SA609X3XB01584-A95724A-R15-C17.bam	S
SA609X3XB01584-A95724A-R15-C20.bam	S
SA609X3XB01584-A95724A-R15-C22.bam	S
SA609X3XB01584-A95724A-R15-C23.bam	S
SA609X3XB01584-A95724A-R15-C24.bam	S
SA609X3XB01584-A95724A-R15-C25.bam	S
SA609X3XB01584-A95724A-R15-C27.bam	G1
SA609X3XB01584-A95724A-R15-C32.bam	G1
SA609X3XB01584-A95724A-R15-C34.bam	G1
SA609X3XB01584-A95724A-R15-C43.bam	G1
SA609X3XB01584-A95724A-R15-C47.bam	S
SA609X3XB01584-A95724A-R15-C59.bam	S
SA609X3XB01584-A95724A-R15-C60.bam	G1
SA609X3XB01584-A95724A-R15-C61.bam	S
SA609X3XB01584-A95724A-R15-C63.bam	S
SA609X3XB01584-A95724A-R15-C66.bam	S
SA609X3XB01584-A95724A-R15-C70.bam	S
SA609X3XB01584-A95724A-R16-C08.bam	S
SA609X3XB01584-A95724A-R16-C09.bam	S
SA609X3XB01584-A95724A-R16-C12.bam	S
SA609X3XB01584-A95724A-R16-C20.bam	S
SA609X3XB01584-A95724A-R16-C27.bam	S
SA609X3XB01584-A95724A-R16-C29.bam	S
SA609X3XB01584-A95724A-R16-C37.bam	G1
