Cell	Subpopulation
SA1105-A96168B-R23-C11	1
SA1105-A96168B-R23-C20	2
SA1105-A96168B-R23-C21	3
SA1105-A96168B-R23-C22	3
SA1105-A96168B-R23-C27	1
SA1105-A96168B-R23-C30	1
SA1105-A96168B-R23-C34	2
SA1105-A96168B-R23-C35	1
SA1105-A96168B-R23-C40	1
SA1105-A96168B-R23-C45	3
SA1105-A96168B-R23-C47	3
SA1105-A96168B-R23-C48	1
SA1105-A96168B-R23-C60	3
SA1105-A96168B-R23-C66	1
SA1105-A96168B-R23-C69	2
SA1105-A96168B-R24-C09	3
SA1105-A96168B-R24-C10	1
SA1105-A96168B-R24-C11	1
SA1105-A96168B-R24-C12	1
SA1105-A96168B-R24-C16	3
SA1105-A96168B-R24-C17	2
SA1105-A96168B-R24-C23	1
SA1105-A96168B-R24-C26	1
SA1105-A96168B-R24-C29	2
SA1105-A96168B-R24-C30	1
SA1105-A96168B-R24-C41	1
SA1105-A96168B-R24-C42	1
SA1105-A96168B-R24-C48	3
SA1105-A96168B-R24-C57	1
SA1105-A96168B-R24-C60	1
SA1105-A96168B-R24-C62	3
SA1105-A96168B-R24-C66	2
SA1105-A96168B-R24-C67	1
SA1105-A96168B-R24-C70	3
SA1105-A96168B-R25-C07	3
SA1105-A96168B-R25-C10	1
SA1105-A96168B-R25-C12	1
SA1105-A96168B-R25-C20	3
SA1105-A96168B-R25-C21	1
SA1105-A96168B-R25-C22	1
SA1105-A96168B-R25-C24	1
SA1105-A96168B-R25-C25	1
SA1105-A96168B-R25-C28	1
SA1105-A96168B-R25-C30	2
SA1105-A96168B-R25-C36	1
SA1105-A96168B-R25-C46	1
SA1105-A96168B-R25-C47	2
SA1105-A96168B-R25-C52	1
SA1105-A96168B-R25-C63	2
SA1105-A96168B-R26-C10	1
SA1105-A96168B-R26-C18	3
SA1105-A96168B-R26-C31	3
SA1105-A96168B-R26-C47	3
SA1105-A96168B-R26-C51	3
SA1105-A96168B-R26-C58	3
SA1105-A96168B-R26-C67	1
SA1105-A96168B-R27-C07	3
SA1105-A96168B-R27-C20	2
SA1105-A96168B-R27-C24	3
SA1105-A96168B-R27-C30	2
SA1105-A96168B-R27-C34	1
SA1105-A96168B-R27-C37	1
SA1105-A96168B-R27-C45	3
SA1105-A96168B-R27-C48	3
SA1105-A96168B-R27-C61	3
SA1105-A96168B-R27-C68	1
SA1105-A96168B-R27-C70	1
SA1105-A96168B-R28-C08	1
SA1105-A96168B-R28-C20	1
SA1105-A96168B-R28-C26	3
SA1105-A96168B-R28-C40	1
SA1105-A96168B-R28-C55	1
SA1105-A96168B-R28-C70	3
SA1105-A96168B-R29-C16	1
SA1105-A96168B-R29-C21	2
SA1105-A96168B-R29-C49	2
SA1105-A96168B-R29-C67	1
SA1105-A96168B-R30-C23	3
SA1105-A96168B-R30-C31	1
SA1105-A96168B-R30-C34	3
SA1105-A96168B-R30-C36	2
SA1105-A96168B-R30-C39	2
SA1105-A96168B-R30-C41	1
SA1105-A96168B-R30-C54	1
SA1105-A96168B-R30-C55	3
SA1105-A96168B-R30-C60	3
SA1105-A96168B-R32-C11	3
SA1105-A96168B-R32-C12	1
SA1105-A96168B-R32-C17	3
SA1105-A96168B-R32-C22	3
SA1105-A96168B-R32-C32	1
SA1105-A96168B-R32-C34	2
SA1105-A96168B-R32-C43	1
SA1105-A96168B-R32-C54	2
SA1105-A96168B-R32-C56	1
SA1105-A96168B-R32-C60	2
SA1105-A96168B-R32-C69	1
SA1105-A96168B-R33-C30	3
SA1105-A96168B-R33-C32	2
SA1105-A96168B-R33-C34	1
SA1105-A96168B-R33-C42	3
SA1105-A96168B-R33-C45	3
SA1105-A96168B-R33-C52	3
SA1105-A96168B-R34-C29	3
SA1105-A96168B-R34-C33	1
SA1105-A96168B-R34-C37	2
SA1105-A96168B-R34-C38	1
SA1105-A96168B-R34-C53	3
SA1105-A96168B-R34-C57	3
SA1105-A96168B-R35-C54	1
SA1105-A96168B-R37-C14	1
SA1105-A96168B-R37-C22	2
SA1105-A96168B-R37-C33	2
SA1105-A96222A-R15-C11	1
SA1105-A96222A-R15-C17	1
SA1105-A96222A-R15-C52	3
SA1105-A96222A-R15-C64	1
SA1105-A96222A-R16-C08	1
SA1105-A96222A-R16-C09	1
SA1105-A96222A-R16-C12	1
SA1105-A96222A-R16-C16	3
SA1105-A96222A-R16-C24	3
SA1105-A96222A-R16-C30	3
SA1105-A96222A-R16-C54	1
SA1105-A96222A-R16-C67	3
SA1105-A96222A-R17-C09	1
SA1105-A96222A-R17-C20	1
SA1105-A96222A-R17-C26	3
SA1105-A96222A-R17-C33	3
SA1105-A96222A-R18-C11	1
SA1105-A96222A-R18-C21	3
SA1105-A96222A-R18-C65	1
SA1105-A96222A-R18-C69	1
