Cell	Phase	Subpopulation
SA039-A73044B-R39-C23.bam	S	1
SA039-A73044B-R39-C25.bam	G1	1
SA039-A73044B-R39-C26.bam	G1	1
SA039-A73044B-R39-C28.bam	G1	1
SA039-A73044B-R39-C30.bam	S	3
SA039-A73044B-R40-C13.bam	S	3
SA039-A73044B-R40-C16.bam	G1	1
SA039-A73044B-R40-C17.bam	G1	1
SA039-A73044B-R40-C18.bam	G1	2
SA039-A73044B-R40-C23.bam	S	1
SA039-A73044B-R40-C25.bam	G1	1
SA039-A73044B-R40-C29.bam	S	1
SA039-A73044B-R40-C30.bam	S	3
SA039-A73044B-R40-C35.bam	G1	1
SA039-A73044B-R40-C52.bam	G1	1
SA039-A73044B-R40-C57.bam	S	3
SA039-A73044B-R40-C63.bam	S	3
SA039-A73044B-R40-C64.bam	G1	1
SA039-A73044B-R40-C67.bam	G1	1
SA039-A73044B-R40-C69.bam	G1	1
SA039-A73044B-R41-C08.bam	G1	1
SA039-A73044B-R41-C09.bam	G1	1
SA039-A73044B-R41-C15.bam	S	1
SA039-A73044B-R41-C28.bam	S	3
SA039-A73044B-R41-C35.bam	G1	1
SA039-A73044B-R41-C43.bam	G1	1
SA039-A73044B-R41-C57.bam	G1	1
SA039-A73044B-R41-C58.bam	S	3
SA039-A73044B-R41-C66.bam	G1	1
SA039-A73044B-R42-C08.bam	S	3
SA039-A73044B-R42-C12.bam	G1	3
SA039-A73044B-R42-C14.bam	G1	1
SA039-A73044B-R42-C17.bam	G1	1
SA039-A73044B-R42-C18.bam	G1	1
SA039-A73044B-R42-C26.bam	G1	1
SA039-A73044B-R42-C27.bam	S	3
SA039-A73044B-R42-C28.bam	S	3
SA039-A73044B-R42-C30.bam	S	1
SA039-A73044B-R42-C37.bam	G1	1
SA039-A73044B-R42-C39.bam	G1	1
SA039-A73044B-R42-C41.bam	G1	1
SA039-A73044B-R42-C46.bam	G1	1
SA039-A73044B-R42-C49.bam	G1	3
SA039-A73044B-R42-C51.bam	S	3
SA039-A73044B-R42-C55.bam	S	3
SA039-A73044B-R42-C57.bam	G1	1
SA039-A73044B-R42-C58.bam	G1	1
SA039-A73044B-R42-C64.bam	G1	1
SA039-A73044B-R43-C04.bam	G1	1
SA039-A73044B-R43-C08.bam	S	3
SA039-A73044B-R43-C12.bam	G1	1
SA039-A73044B-R43-C16.bam	G1	1
SA039-A73044B-R43-C17.bam	G1	1
SA039-A73044B-R43-C18.bam	S	3
SA039-A73044B-R43-C20.bam	S	3
SA039-A73044B-R43-C21.bam	S	3
SA039-A73044B-R43-C26.bam	G1	1
SA039-A73044B-R43-C30.bam	G1	1
SA039-A73044B-R43-C31.bam	G1	1
SA039-A73044B-R43-C34.bam	G1	1
SA039-A73044B-R43-C37.bam	G1	1
SA039-A73044B-R43-C40.bam	G1	1
SA039-A73044B-R43-C43.bam	G1	1
SA039-A73044B-R43-C44.bam	S	3
SA039-A73044B-R43-C47.bam	S	1
SA039-A73044B-R43-C49.bam	S	3
SA039-A73044B-R43-C50.bam	S	3
SA039-A73044B-R43-C52.bam	S	3
SA039-A73044B-R43-C55.bam	S	3
SA039-A73044B-R43-C57.bam	G1	1
SA039-A73044B-R43-C66.bam	G1	1
SA039-A73044B-R44-C04.bam	G1	1
SA039-A73044B-R44-C07.bam	S	3
SA039-A73044B-R44-C12.bam	G1	1
SA039-A73044B-R44-C13.bam	G1	1
SA039-A73044B-R44-C15.bam	G1	1
SA039-A73044B-R44-C17.bam	G1	1
SA039-A73044B-R44-C18.bam	S	3
SA039-A73044B-R44-C22.bam	S	3
SA039-A73044B-R44-C23.bam	G1	1
SA039-A73044B-R44-C25.bam	G1	1
SA039-A73044B-R44-C28.bam	S	3
SA039-A73044B-R44-C34.bam	S	3
SA039-A73044B-R44-C35.bam	G1	1
SA039-A73044B-R44-C37.bam	S	3
SA039-A73044B-R44-C54.bam	G1	1
SA039-A73044B-R44-C55.bam	S	3
SA039-A73044B-R44-C56.bam	G1	1
SA039-A73044B-R44-C57.bam	G1	3
SA039-A73044B-R44-C61.bam	G1	1
SA039-A73044B-R44-C64.bam	G1	1
SA039-A73044B-R44-C66.bam	S	3
SA039-A73044B-R44-C70.bam	S	1
SA039-A73044B-R45-C11.bam	G1	1
SA039-A73044B-R45-C12.bam	S	3
SA039-A73044B-R45-C43.bam	S	3
SA039-A73044B-R45-C49.bam	G1	1
SA039-A73044B-R45-C63.bam	G1	1
SA039-A73044B-R46-C37.bam	S	1
SA039-A73044B-R46-C41.bam	S	1
SA039-A73044B-R46-C42.bam	G1	1
SA039-A73044B-R46-C46.bam	S	3
SA039-A73044B-R46-C48.bam	G1	1
SA039-A73044B-R46-C64.bam	S	3
SA039-A73044B-R46-C67.bam	G1	1
SA039-A73044B-R46-C68.bam	G1	1
SA039-A73044B-R46-C70.bam	G1	1
SA039-A73044B-R47-C07.bam	G1	1
SA039-A73044B-R47-C16.bam	S	3
SA039-A73044B-R47-C20.bam	S	3
SA039-A73044B-R47-C26.bam	S	3
SA039-A73044B-R47-C37.bam	S	3
SA039-A73044B-R47-C42.bam	S	3
SA039-A73044B-R47-C43.bam	S	3
SA039-A73044B-R47-C44.bam	G1	1
SA039-A73044B-R47-C52.bam	S	3
SA039-A73044B-R47-C54.bam	S	1
SA039-A73044B-R47-C55.bam	G1	1
SA039-A73044B-R47-C60.bam	S	3
SA039-A73044B-R47-C64.bam	G1	1
SA039-A73044B-R47-C66.bam	G1	1
SA039-A73044B-R48-C04.bam	G1	1
SA039-A73044B-R48-C14.bam	G1	1
SA039-A73044B-R48-C15.bam	G1	1
SA039-A73044B-R48-C17.bam	G1	1
SA039-A73044B-R48-C23.bam	S	3
SA039-A73044B-R48-C38.bam	G1	1
SA039-A73044B-R48-C41.bam	G1	1
SA039-A73044B-R48-C43.bam	S	3
SA039-A73044B-R48-C46.bam	S	3
SA039-A73044B-R48-C47.bam	G1	1
SA039-A73044B-R48-C48.bam	G1	1
SA039-A73044B-R48-C57.bam	S	1
SA039-A73044B-R48-C58.bam	S	3
SA039-A73044B-R48-C61.bam	G1	1
SA039-A73044B-R48-C67.bam	S	3
SA039-A73044B-R48-C68.bam	G1	1
SA039-A73044B-R49-C07.bam	G1	1
SA039-A73044B-R49-C13.bam	G1	1
SA039-A73044B-R49-C24.bam	S	3
SA039-A73044B-R49-C37.bam	S	3
SA039-A73044B-R49-C43.bam	S	3
SA039-A73044B-R49-C44.bam	G1	1
SA039-A73044B-R49-C51.bam	S	3
SA039-A73044B-R49-C58.bam	S	3
SA039-A73044B-R49-C59.bam	G1	1
SA039-A73044B-R49-C64.bam	G1	1
SA039-A73044B-R50-C14.bam	S	1
SA039-A73044B-R50-C19.bam	S	1
SA039-A73044B-R50-C23.bam	S	3
SA039-A73044B-R50-C37.bam	G1	1
SA039-A73044B-R50-C39.bam	G1	1
SA039-A73044B-R50-C41.bam	S	3
SA039-A73044B-R50-C43.bam	S	1
SA039-A73044B-R50-C44.bam	G1	1
SA039-A73044B-R50-C51.bam	S	3
SA039-A73044B-R50-C54.bam	G1	1
SA039-A73044B-R50-C57.bam	G1	1
SA039-A73044B-R50-C63.bam	G1	1
SA039-A73044B-R50-C67.bam	S	3
SA039-A73044B-R51-C27.bam	S	3
SA039-A73044B-R51-C37.bam	S	1
SA039-A73044B-R51-C39.bam	S	1
SA039-A73044B-R51-C42.bam	G1	1
SA039-A73044B-R51-C43.bam	G1	1
SA039-A73044B-R51-C44.bam	G1	1
SA039-A73044B-R51-C47.bam	G1	1
SA039-A73044B-R51-C48.bam	S	3
SA039-A73044B-R51-C50.bam	G1	1
SA039-A73044B-R51-C51.bam	G1	1
SA039-A73044B-R51-C52.bam	G1	1
SA039-A73044B-R51-C54.bam	S	3
SA039-A73044B-R51-C55.bam	S	1
SA039-A73044B-R51-C56.bam	G1	1
SA039-A73044B-R51-C58.bam	G1	1
SA039-A73044B-R51-C61.bam	S	3
SA039-A73044B-R51-C66.bam	G1	1
SA039-A73044B-R51-C67.bam	G1	1
SA039-A73044B-R51-C69.bam	G1	1
SA039-A73044B-R52-C13.bam	S	3
SA039-A73044B-R52-C24.bam	S	3
SA039-A73044B-R52-C25.bam	G1	1
SA039-A73044B-R52-C41.bam	G1	1
SA039-A73044B-R52-C44.bam	G1	1
SA039-A73044B-R52-C48.bam	G1	1
SA039-A73044B-R52-C49.bam	G1	1
SA039-A73044B-R52-C54.bam	G1	1
SA039-A73044B-R52-C56.bam	S	3
SA039-A73044B-R52-C59.bam	S	3
SA039-A73044B-R52-C64.bam	S	3
SA039-A73044B-R53-C13.bam	G1	1
SA039-A73044B-R53-C37.bam	G1	1
SA039-A73044B-R53-C40.bam	G1	1
SA039-A73044B-R53-C41.bam	S	1
SA039-A73044B-R53-C42.bam	G1	1
SA039-A73044B-R53-C46.bam	G1	1
SA039-A73044B-R53-C51.bam	S	1
SA039-A73044B-R53-C55.bam	S	3
SA039-A73044B-R53-C56.bam	S	3
SA039-A73044B-R53-C57.bam	G1	1
SA039-A73044B-R53-C58.bam	G1	1
SA039-A73044B-R53-C59.bam	G1	1
SA039-A73044B-R53-C60.bam	G1	1
SA039-A73044B-R53-C61.bam	G1	1
SA039-A73044B-R53-C63.bam	G1	1
SA039-A73044B-R53-C66.bam	G1	1
SA039-A73044B-R53-C68.bam	S	1
SA039-A73044B-R54-C40.bam	S	1
SA039-A73044B-R54-C41.bam	G1	1
SA039-A73044B-R54-C54.bam	G1	1
SA039-A73044B-R54-C55.bam	S	3
SA039-A73044B-R54-C56.bam	G1	3
SA039-A73044B-R54-C66.bam	G1	1
SA039-A73044B-R54-C67.bam	S	3
SA039-A73044B-R55-C09.bam	G1	1
SA039-A73044B-R55-C13.bam	G1	1
SA039-A73044B-R55-C14.bam	S	1
SA039-A73044B-R55-C26.bam	G1	1
SA039-A73044B-R55-C28.bam	S	3
SA039-A73044B-R55-C43.bam	S	3
SA039-A73044B-R55-C63.bam	G1	1
SA039-A73044B-R56-C08.bam	G1	1
SA039-A73044B-R56-C43.bam	S	3
SA039-A73044B-R56-C46.bam	S	3
SA039-A73044B-R56-C57.bam	S	3
SA039-A73044B-R56-C58.bam	G1	1
SA039-A73044B-R56-C63.bam	S	3
SA039-A73044B-R57-C12.bam	G1	1
SA039-A73044B-R57-C13.bam	S	3
SA039-A73044B-R57-C17.bam	S	1
SA039-A73044B-R57-C18.bam	S	3
SA039-A73044B-R57-C19.bam	G1	1
SA039-A73044B-R57-C20.bam	G1	1
SA039-A73044B-R57-C30.bam	S	3
SA039-A73044B-R57-C32.bam	G1	1
SA039-A73044B-R57-C38.bam	G1	1
SA039-A73044B-R57-C40.bam	G1	1
SA039-A73044B-R57-C41.bam	S	3
SA039-A73044B-R57-C42.bam	G1	1
SA039-A73044B-R57-C55.bam	S	3
SA039-A73044B-R57-C57.bam	G1	1
SA039-A73044B-R57-C59.bam	S	3
SA039-A73044B-R57-C63.bam	G1	1
SA039-A73044B-R58-C09.bam	G1	1
SA039-A73044B-R58-C19.bam	G1	1
SA039-A73044B-R58-C23.bam	S	3
SA039-A73044B-R58-C25.bam	G1	1
SA039-A73044B-R58-C26.bam	G1	1
SA039-A73044B-R58-C30.bam	S	1
SA039-A73044B-R58-C31.bam	S	3
SA039-A73044B-R58-C42.bam	S	3
SA039-A73044B-R58-C56.bam	S	3
